NO;LEVEL;TANGGAL PEMANTAUAN;PERIODE PEMANTAUAN;KODE LOKASI;NAMA LOKASI;ALAMAT LOKASI;PROVINSI;LATITUDE;LONGITUDE;PERUNTUKAN;TSS (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER TSS  (mg/L);DO (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER OKSIGEN TERLARUT  (mg/L);MINYAK & LEMAK (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER MINTAK DAN LEMAK  (mg/L);AMONIA TOTAL (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER AMONIA TOTAL mg/L);ORTOFOSFAT (PO4-P) (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER PO4- (mg/L);BOD (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER BOD (mg/L);SUHU;STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER SUHU;SALINITAS;STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER SALINITAS;KECERAHAN;STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER KECERAHAN;KEKERUHAN (NTU);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER KEKERUHAN (NTU);PAH (Polisiklik Aromatik Hidrokarbon);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER PAH;PESTISIDA/HERBISIDA (BHC);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER PESTISIDA/HERBISIDA (BHC) ;PESTISIDA/HERBISIDA (DDT);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER PESTISIDA/HERBISIDA (DDT) ;"PESTISIDA/HERBISIDA
(ENDRIN)";STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER PESTISIDA/HERBISIDA (ENDRIN) ;FECAL COLIFORM/E.COLI;STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER FECAL/COLIFORM; (DIC) DISSOLVED OXYGEN CARBON;STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER  (DIC) DISSOLVED OXYGEN CARBON
11;PUSAT;24/03/2020;1;T1-GO-03-001;Gortal03;Olele;Gorontalo;0.41181;123.151295;Pelabuhan;21.3;Layak;6.36;Layak;1;Layak;0.06;Layak;0.03;Layak;Tidak ada data;Tidak Layak;29.2;Layak;Access Forbidden;Tidak Layak;2.9;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
12;PUSAT;20/12/2024;2;T1-PD-05-004;Papbar14;Dermaga Petrochina;Papua Barat Daya;-0.991044;131.262081;Pelabuhan;9.44;Layak;7.12;Layak;1;Layak;0.1;Layak;0.03;Layak;Access Forbidden;Tidak Layak;30.8;Layak;33.6;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;1.8;Layak;Tidak ada data;Tidak ada baku mutu
13;PUSAT;29/09/2024;2;T1-SR-02-008;Sulbar08;Desa Belang-belang, Kec Kaluku;Sulawesi Barat;-2.498863;119.054168;Wisata Bahari;5.42;Layak;6.99;Layak;0.3;Layak;0.09;Layak;0.02;Layak;Tidak ada data;Tidak Layak;29.9;Layak;32.5;Layak;Access Forbidden;Tidak Layak;2.5;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
14;PUSAT;24/08/2024;2;T1-JA-75-001;Jambi05;Kuala Lagan;Jambi;-0.942484;103.744897;Biota Laut;20.61;Layak;5.9;Layak;0.3;Layak;0.08;Layak;0.03;Layak;Tidak ada data;Tidak Layak;30.1;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
15;PUSAT;29/03/2022;2;T3-BB-02-005;PLN SUGE-05;Titik Pantau 4 PT. Pelayanan Listrik Nasional Batam Unit PLTG 1 x 25 MW MPP Suge Belitung;Kepulauan Bangka Belitung;-2.88901;107.56535;Biota Laut;57.94;Tidak Layak;5.97;Layak;1;Layak;0.15;Layak;0.02;Layak;Tidak ada data;Tidak Layak;30.1;Layak;Tidak ada data;Layak;2.8;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
16;PUSAT;17/06/2021;1;T3-JT-01-001;PLN JTG ADI 01;ALT-1 PT. PLN lndonesia Power PLTU Jawa Tengah 2 Adipala;Jawa Tengah;-7.690096;109.137953;Biota Laut;8.17;Layak;4.81;Tidak Layak;0.5;Layak;0.05;Layak;0.01;Layak;Tidak ada data;Tidak Layak;28.8;Layak;33.2;Layak;Tidak ada data;Layak;1.6;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
17;PROVINSI;15/06/2024;1;T1-KU-71-014;Kaltara16;Kayan Marine;Kalimantan Utara;3.394626;117.51536;Pelabuhan;10.54;Layak;6.03;Layak;1;Layak;0.13;Layak;0.03;Layak;Access Forbidden;Tidak Layak;28.9;Layak;31.4;Layak;Tidak ada data;Layak;3.2;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;2.4;Layak;Tidak ada data;Tidak ada baku mutu
18;PUSAT;25/11/2024;1;T3-JT-01-001;PLN JTG ADI 01;ALT-1 PT. PLN lndonesia Power PLTU Jawa Tengah 2 Adipala;Jawa Tengah;-7.690373;109.1372;Biota Laut;65.19;Tidak Layak;7.11;Layak;1;Layak;0.13;Layak;0.02;Layak;4.6;Layak;28.6;Layak;33.1;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
19;PROVINSI;07/10/2025;2;T3-KT-11-002;Kalteng 22;Wisata Edukasi Mangrove;Kalimantan Tengah;-3.380916;114.099351;Wisata Bahari;66.56;Tidak Layak;7.11;Layak;0.5;Layak;0.03;Layak;0.02;Layak;Tidak ada data;Tidak Layak;28.9;Layak;32.4;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
20;PUSAT;16/05/2026;2;T3-ST-04-002;PPN SULTENG TLI 02;TP-AL KPM 2 Air Laut 55 meter arah selatan dari jetty head PT PPN - Fuel Terminal Toli-Toli;Sulawesi Tengah;1.110499;120.776706;Pelabuhan;8.79;Layak;7.09;Layak;0.3;Layak;0.04;Layak;0.04;Layak;Tidak ada data;Tidak Layak;29.4;Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;2.8;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;1.8;Layak;Tidak ada data;Tidak ada baku mutu
21;PUSAT;11/05/2019;1;T1-BT-04-004;Banten14;LBE;Banten;-5.881976;106.048771;Pelabuhan;57.71;Tidak Layak;6.57;Layak;0.5;Layak;0.09;Layak;0.02;Layak;Tidak ada data;Tidak Layak;29.3;Layak;32.6;Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
22;PUSAT;19/05/2023;2;T3-SA-72-008;SULUT LCD 01;Laut Tapak PT L & C Dock Yard Indonesia;Sulawesi Utara;1.445391;125.206392;Pelabuhan;73.29;Tidak Layak;6.21;Layak;0.5;Layak;0.12;Layak;0.02;Layak;Tidak ada data;Tidak Layak;28.9;Layak;32.1;Layak;4.4;Layak;5;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
23;PUSAT;22/04/2023;1;T1-AC-14-004;Aceh14;Pantai Pasie Luah;Nanggroe Aceh Darussalam;4.621894;95.585037;Biota Laut;67.41;Tidak Layak;6.35;Layak;1;Layak;0.08;Layak;0.02;Layak;5.1;Tidak Layak;29.6;Layak;33.9;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;2.4;Layak;Tidak ada data;Tidak ada baku mutu
24;PROVINSI;15/02/2022;2;T1-KU-71-015;Kaltara17;Intracawood;Kalimantan Utara;3.353998;117.52441;Biota Laut;29.64;Layak;5.51;Layak;1;Layak;0.05;Layak;0.02;Layak;3.6;Layak;30;Layak;Tidak ada data;Layak;2.5;Layak;2;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;2.4;Layak;Tidak ada data;Tidak ada baku mutu
25;PUSAT;20/08/2021;1;T1-SS-07-010;Sumsel10;Dermaga Pelabuhan Tanjung Api-api 3;Sumatera Selatan;-2.362475;104.813167;Pelabuhan;15.71;Layak;6.37;Layak;1;Layak;0.19;Layak;0.01;Layak;Tidak ada data;Tidak Layak;30.7;Layak;Tidak ada data;Layak;Tidak ada data;Layak;2.9;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;2.4;Layak;Tidak ada data;Tidak ada baku mutu
26;PROVINSI;25/08/2026;1;T1-KS-01-003;Kalsel04;Muara Sungai Barito 1;Kalimantan Selatan;-3.567986;114.507089;Biota Laut;69.84;Tidak Layak;6.94;Layak;0.3;Layak;0.09;Layak;0.03;Layak;Tidak ada data;Tidak Layak;30.4;Layak;31.6;Layak;3.4;Layak;5.1;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
27;PUSAT;12/10/2023;1;T1-BE-05-002;Bengkulu18;Talo;Bengkulu;-4.280391;102.697438;Biota Laut;58.51;Tidak Layak;5.29;Layak;1;Layak;0.01;Layak;0.03;Layak;Tidak ada data;Tidak Layak;30.7;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;1.8;Layak;Tidak ada data;Tidak ada baku mutu
28;PUSAT;21/07/2023;2;T3-JT-01-005;PLN JTG ADI 05;ALT-5 PT. PLN lndonesia Power PLTU Jawa Tengah 2 Adipala;Jawa Tengah;-7.692783;109.135503;Biota Laut;65.44;Tidak Layak;7.16;Layak;1;Layak;0.16;Layak;0.02;Layak;5.6;Tidak Layak;30.7;Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
29;PUSAT;19/07/2020;1;T3-ST-04-001;PPN SULTENG TLI 03;TP-AL IPAL Domestik Air Laut 56 meter arah utara dari jetty head PT PPN - Fuel Terminal Toli-Toli;Sulawesi Tengah;1.112381;120.781267;Pelabuhan;56.34;Tidak Layak;6.79;Layak;0.3;Layak;0.13;Layak;0.02;Layak;Access Forbidden;Tidak Layak;30.5;Layak;31.5;Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
30;PUSAT;03/12/2024;1;T3-SB-71-007;PLN SB-01;Titik Pantau Lepas Pantai Jetty Temporary PT. PLN lndonesia Power PLTU Teluk Sirih;Sumatera Barat;-1.07577;100.367243;Pelabuhan;10.87;Layak;5.29;Layak;1;Layak;0.06;Layak;0.02;Layak;Access Forbidden;Tidak Layak;28.8;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
31;PUSAT;16/03/2022;2;T3-KR-71-007;KEPRI ECO 01;ECO-01 PT. Ecogreen Oleochemicals - Batam Plant;Kepulauan Riau;1.068014;104.139291;Pelabuhan;60.47;Tidak Layak;5.55;Layak;0.5;Layak;0.17;Layak;0.03;Layak;Access Forbidden;Tidak Layak;30.8;Layak;Access Forbidden;Tidak Layak;3.9;Layak;7.3;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;2.4;Layak;Tidak ada data;Tidak ada baku mutu
32;PROVINSI;15/02/2025;2;T3-SB-71-004;Sumbar 32;Muaro Penyalinan;Sumatera Barat;-0.864583;100.329289;Wisata Bahari;61.05;Tidak Layak;6.06;Layak;1;Layak;0.02;Layak;0.01;Layak;Tidak ada data;Tidak Layak;29.2;Layak;31.9;Layak;Tidak ada data;Layak;2.6;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
33;PUSAT;05/08/2024;2;T1-PD-05-003;Papbar13;Muara Kanal Pantai Mariat;Papua Barat Daya;-0.974304;131.265119;Biota Laut;40.39;Layak;5.6;Layak;0.5;Layak;0.17;Layak;0.03;Layak;Access Forbidden;Tidak Layak;30.9;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
34;PUSAT;04/02/2025;1;T1-BT-04-003;Banten13;Polychem;Banten;-5.887036;106.080105;Pelabuhan;63.38;Tidak Layak;6.78;Layak;0.5;Layak;0.16;Layak;0.01;Layak;Tidak ada data;Tidak Layak;29.8;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;1.8;Layak;Tidak ada data;Tidak ada baku mutu
35;PUSAT;29/05/2023;2;T3-SU-05-005;PLN SU-05;AL 5 PT. PLN lndonesia Power PLTU Pangkalan Susu;Sumatera Utara;4.098032;98.330184;Pelabuhan;7.06;Layak;6.59;Layak;1;Layak;0.18;Layak;0.02;Layak;3.9;Layak;28.7;Layak;33.5;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
36;PROVINSI;26/07/2019;1;T3-KB-01-001;Muara Sungai Sambas 1;Muara Sungai Sambas 1;Kalimantan Barat;1.18873;108.928914;Biota Laut;41.8;Layak;6.81;Layak;1;Layak;0.05;Layak;0.03;Layak;Access Forbidden;Tidak Layak;30.4;Layak;33.9;Layak;Tidak ada data;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
37;PUSAT;28/06/2023;1;T3-AC-06-003;PT SBA 3;AL 3 PT Solusi Bangun Andalas;Nanggroe Aceh Darussalam;5.45582;95.241719;Pelabuhan;71.32;Tidak Layak;5.95;Layak;1;Layak;0.11;Layak;0.01;Layak;Access Forbidden;Tidak Layak;31;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;1.2;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;1.8;Layak;Tidak ada data;Tidak ada baku mutu
38;PUSAT;24/09/2025;2;T1-PD-71-008;Papbar08;Muara Kali Remu (Dokarim);Papua Barat Daya;-0.89982;131.271203;Biota Laut;16.44;Layak;5.51;Layak;0.3;Layak;0.15;Layak;0.03;Layak;Tidak ada data;Tidak Layak;28.7;Layak;32.3;Layak;Access Forbidden;Tidak Layak;5.8;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
